tinh,huyen,xa,diaban,hoso,chisxkd_1,chisxkd_2,chisxkd_3,chisxkd_4,chisxkd_5,chisxkd_6,chisxkd_7,chisxkd_8,chikhac_01,chikhac_02,chikhac_03,chikhac_04,chikhac_05,chikhac_06,chikhac_07,chikhac_08,chikhac_09,chikhac_10,chikhac_11,chikhac_12,chikhac_13,chikhac_14
101,1,3.0,1,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48421.2,0.0,250.0,1584.4,24438.8,7560.0,7350.0,2570.0,0.0,0.0,0.0,0.0,0.0,4668.0
101,1,3.0,1,14,2688.0,0.0,0.0,0.0,0.0,0.0,0.0,2688.0,157048.0,8300.0,410.0,4619.3,36904.7,21586.0,18950.0,8150.0,50000.0,0.0,0.0,4300.0,0.0,3828.0
101,1,3.0,1,15,11028.0,0.0,0.0,0.0,0.0,0.0,0.0,11028.0,116617.6,0.0,4300.0,3530.7,38741.9,21488.0,16235.0,7850.0,0.0,0.0,0.0,1400.0,17000.0,6072.0
101,1,9.0,19,15,187152.0,0.0,0.0,0.0,0.0,0.0,0.0,187152.0,33879.6,0.0,0.0,1555.2,17770.4,7012.0,5090.0,760.0,0.0,0.0,0.0,0.0,0.0,1692.0
101,1,9.0,19,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38628.8,0.0,150.0,1852.7999,20078.0,8190.0,5620.0,770.0,0.0,0.0,0.0,0.0,0.0,1968.0
101,1,9.0,19,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46615.6,2370.0,600.0,1993.9,22501.7,9280.0,7490.0,640.0,0.0,0.0,0.0,0.0,0.0,1740.0
101,1,15.0,50,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,113276.8,3800.0,600.0,5259.8,51339.0,17447.0,16531.0,1800.0,0.0,0.0,0.0,0.0,0.0,16500.0
101,1,15.0,50,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,102092.8,0.0,600.0,4331.4,52250.4,17980.0,22031.0,2200.0,0.0,0.0,0.0,0.0,0.0,2700.0
101,1,15.0,50,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106982.1,11150.0,800.0,4885.4,41726.7,23575.0,17765.0,1200.0,0.0,0.0,0.0,0.0,0.0,5880.0
101,1,17.0,2,13,1668.0,0.0,0.0,0.0,0.0,0.0,0.0,1668.0,20458.2,0.0,100.0,536.8,5690.4,855.0,218.0,86.0,0.0,0.0,0.0,0.0,10000.0,2972.0
101,1,17.0,2,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22614.0,3474.0,2950.0,907.9,10542.1,2394.0,525.0,213.0,0.0,0.0,0.0,0.0,0.0,1608.0
101,1,17.0,2,19,26364.0,0.0,0.0,0.0,0.0,0.0,0.0,26364.0,20894.2,0.0,600.0,1144.3,10915.9,5149.0,417.0,116.0,0.0,0.0,0.0,0.0,0.0,2552.0
101,1,21.0,36,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45343.0,3000.0,530.0,1926.5,18811.5,4429.0,5695.0,1803.0,0.0,0.0,0.0,0.0,7000.0,2148.0
101,1,21.0,36,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37107.7,3050.0,475.0,1815.3,17779.4,8217.0,2260.0,1615.0,0.0,0.0,0.0,0.0,0.0,1896.0
101,1,21.0,36,19,54607.8,0.0,0.0,0.0,0.0,0.0,0.0,54607.8,125894.2,8220.0,1435.0,3401.7,36395.5,23573.0,14005.0,14780.0,20000.0,0.0,0.0,1900.0,0.0,2184.0
101,1,23.0,18,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48629.2,0.0,300.0,3074.8,29025.4,5778.0,6865.0,1080.0,0.0,0.0,0.0,0.0,0.0,2506.0
101,1,23.0,18,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63012.2,0.0,500.0,3795.7,36725.5,7136.0,10080.0,1260.0,0.0,0.0,0.0,0.0,0.0,3515.0
101,1,23.0,18,29,71724.0,0.0,0.0,0.0,0.0,0.0,0.0,71724.0,58078.5,0.0,400.0,3561.5,37084.0,7018.0,5570.0,1230.0,0.0,0.0,0.0,0.0,0.0,3215.0
